ELAST,HR24
-0.19,0
-0.1572023071517773,1
-0.12532866430333206,2
-0.09459902710876636,3
-0.06523335122218214,4
-0.03745159229768141,5
-0.011473705989366173,6
0.012480352048661603,7
0.03419062616229987,8
0.053437160697446695,9
0.07,10
0.08378030585481552,11
0.09516370980257945,12
0.10465696082293559,13
0.11276680789552783,14
0.12,15
0.1262817222148853,16
0.1292109040142743,17
0.1258049109711469,18
0.11308110865848307,19
0.08805686264926268,20
0.04776323311382305,21
-0.01045374403827845,22
-0.08893305715826444,23
-0.19,24
