Hour,7/11/2018,7/31/2018,8/30/2018,9/27/2018,10/16/2018,10/30/2018,11/14/2018,11/28/2018
event_type,LR,LR,LR,LR,LS,LS,LS,LS
participating_chargers,32,52,10,24,83,67,68,74
1,0.544,0.5785,0.048,11.808,5.65,0.716,6.7123,17.0441
2,0.34,0.5585,0,0.908,4.346,0.716,4.4851,8.7348
3,0.33,0.5685,0,0.028,4.362,0.716,4.1313,3.4358
4,0.34,0.5585,0,0.028,4.312,0.704,3.8177,2.0481
5,0.32,0.5528,0,0.028,8.38,2.66,7.8174,6.2322
6,0.35,10.5267,0.472,9.208,17.534,8.23,16.9581,18.4979
7,0.34,17.2276,6.608,5.712,9.472,10.606,12.0087,21.5859
8,6.9573,9.9933,6.588,1.592,3.968,4,17.3125,10.3581
9,13.3407,9.9353,6.632,17.332,6.978,1.688,13.0609,8.0801
10,13.3458,4.0345,6.612,13.18,8.956,3.552,15.0109,14.6485
11,11.3236,3.9265,6.62,2.16,7.726,17.05,22.9659,11.6221
12,7.1203,5.6912,6.584,0.028,9.956,7.832,17.1746,20.4138
13,6.918,12.7019,3.564,0.34,13.114,35.004,19.1281,26.4081
14,9.3635,13.0923,0,16.568,24.884,45.854,37.2256,25.2258
15,11.8104,78.5513,3.144,23.656,32.98,53.334,44.771,31.7781
16,4.6821,39.4634,1.756,20.912,39.928,45.5,51.5041,38.1687
17,15.1557,52.769,0,9.892,61.472,33.51,50.2973,70.2379
18,19.126,30.7585,5.604,11.924,51.536,22.414,40.6609,41.2799
19,18.852,26.1533,5.812,16.124,31.15,10.338,44.3157,34.592
20,18.626,35.0993,8.664,4.268,15.14,3.924,28.6375,17.8221
21,18.888,21.6073,0.172,1.216,8.61,0.928,60.6402,9.4839
22,5.916,27.8519,2.748,30.42,50.55,34.882,46.3039,61.0441
23,2.994,16.9183,9.36,10.84,61.56,33.756,37.1548,52.6685
24,5.826,1.9975,3.04,21.54,9.464,11.656,7.5334,17.4619
